"V1"|"V2"|"V3"|"V4"|"V5"|"ID"|"grp"|"YrStarted"|"Q16_1"|"Q16_2"|"Q16_3"|"Q16_4"|"Q16_5"|"Q16_6"|"Q16_7"|"Q16_8"|"Q18_1"|"Q18_2"|"Q18_3"|"Q18_4"|"Q18_5"|"Q18_6"|"Q18_7"|"Q18_8"
"Deducted my money for no reason. I used the service once and then never used it. Return my money immediately."|NA|"Many times I've put sub tasks on my to-do tasks and they just disappear for some reason. I've forgotten many things because of this and still hasn't been fixed despite various updates."|"I can t select weekly days which days i need remainder, and this drawback of app, best to go with other app"|"I liked it...nice features but not giving the colour changing option (premium only) is just cheap... I wish I can set my own music for my reminders"|32|"Business Operations"|"2014"|"1"|"2"|"2"|"6"|"5"|"8"|"4"|"7"|"4"|"1"|"8"|"6"|"3"|"4"|"4"|"5"
NA|"Just basic app without any exciting features. Why I pay for this useless app. Please don't download it's a cheat, waste of time and energy."|"I love this app, but recently the app keeps crashing everytime I enter. Plus the calendar is completely wrong. 😕"|"Uninstalled after latest update and it blocked all my lists until I set up an account. No thanks."|"I don't understand why all the tags disappear once you start pay or join the trial. The only tag showing is Priority. Before I joined premium there were other options which disappeared."|33|"Business Operations"|"2010"|"2"|"2"|"1"|"6"|"6"|"3"|"5"|"8"|NA|NA|"2"|"2"|"6"|"4"|"7"|"7"
"Just they copied GOOGLE CALENDAR and Charging On Top of That ... Google Calendar so far BETTER ..."|"to much cost"|"Amount debited for renewal with out any notice. No option in the app for cancelation of auto renewal. Dont even recollect there was a option for auto renewal and I have given consent. Please look into."|"The \"not completed\" tasks do not carry over to the next day automatically. I wanted an app that would constantly flash incomplete tasks in my home screen. Otherwise, presentation of the app is good."|"Works well for me and does its jobs and I never forget stuff anymore. Well done guys. And thank you for this app. Jannov"|34|"Business Operations"|"2010"|"7"|"7"|"7"|NA|"3"|"4"|"8"|"3"|"3"|"7"|"4"|"2"|"4"|"5"|"6"|"6"
"Premium support has not contacted me for 3 days and counting......"|"Not user friendly. Directly asking for money.i already uninstalled"|"Looks like a copy of an IPhone app. Im not impressed by the huge bar in the bottom or the single colored ui. A night mode should come standard"|"Very average app, not intuitive . Will probably spend more time trying to plan than doing"|"Sound is not coming while the task is reminding.. How to get sound? without sound while reminding is not useful..please tell how to enable sound"|35|"Business Operations"|"2012"|"5"|"8"|"1"|"5"|"7"|"6"|"4"|"2"|"2"|"6"|"7"|"8"|"4"|NA|"5"|"3"
"All I want is a calendar. This app spams you so much. 1 star"|"Trashy App, a total waste of time🤞🏽"|"I dont like how it charged me automatically after the free trial without informing me expiry of trial or if i wanted to subscribe to the paid service"|"I dont liek it rlly"|"It's good and is useful only problem that lets it down is you have to upgrade to premium for it to do all the things it lists so that lets it down"|36|"Technical and Scientific"|"2017"|"4"|"6"|"6"|"5"|"4"|"2"|"5"|"7"|"6"|"2"|"8"|"8"|"1"|"1"|"4"|"5"
"Free version is very limited, and there are thousands of similar free apps that do what the paid one does. Dev likes to argue this but the app is really not very useful unless you buy a monthly subscription. Changed from 2 to 1 star for developer being actively misleading about this."|"The app felt good enough for me to buy the yearly subscription, which I did and paid th 15€ it requested. But a week later they charged me 17 more euros to my credit card for the same subscription and the same features so I basically paid 32€ . THAT is a scam and unless I get my 17€ euros back I'm gonna keep the rating at one star."|"Excellent app But... Google Assistant support / integration is in \"coming soon\" state for about 2 yeas. Is there a chance to see it available in next 5 or 10 years?"|"Premium version is too much expensive. Any.do should provide an option in which we can select max. 3 to 5 apps for integration in premium version & pay accordingly."|"Doesn't let me view the lists from my Android Wear OS Smart Watch"|37|"Business Operations"|"2010"|"1"|"3"|"5"|NA|"8"|"6"|"5"|"3"|"3"|"6"|"1"|"3"|"3"|"8"|"8"|"2"
"Not free! You will be billed without you knowing about the loss of your money."|"Have to pay for a dark mode lol"|"I love this app but I don't know what's happened the notifications for reminders dont work. Whenever I try to set the time zone it's force stops"|"Looks really good but... I'm not going to pay a subscription for it, sorry. If you said one off payment then maybe. Most of the locked features are available in other products out there."|"App doesn't have pop up notifications anymore for my tasks that I set a reminder at a certain time for. I have checked the app permissions and it allows full notifications."|38|"Technical and Scientific"|"2015"|"3"|"4"|"2"|"1"|"8"|"6"|"7"|"8"|"8"|"1"|"8"|"4"|"3"|"4"|"4"|"1"
"Worst app for premium, only yearly pay of rs 990. No option for monthly payment. Bad app."|"Absolutely worthless. This app runs a prohibitively clunky interface that effectively voids the promise of ease-of-life automation. Google Calendar will provide all other services promised by Any do for free with no annual subscription rate. Don't sign up for the free trial. It's not worth getting pinged for forty bucks when you decide you don't like it and forget to cancel it in time. Save your money!"|"Not a great user interface. Have been using for almost 2 months but still struggling"|"Well designed and all however alot of the crutial features are locked behind the premium which u need to pay for"|"App crash often happens....and i cant even open the app so how am i going to send a bug report.... 😑"|39|"Business Operations"|"2017"|"2"|"1"|"4"|"7"|"3"|"2"|"7"|"1"|"2"|"8"|"7"|"4"|NA|"8"|"6"|"4"
"It looked good but it doesn't work. I scheduled simple tasks and it would change the timing. I re corrected to make it right several times. The navigation was difficult. Like I'd want to set a task but then I'd have to say the task was complete so wouldn't be sure it saved. Couldn't just back out to see the task was set correctly. Had to confirm the task was done then undo the task for later which might then change the time to something I never set. 😳"|"Worse"|"The alarm feature does not work, which leads to missing the tasks."|"Unable to edit time for reminder. S7"|"I want dark mode without payin. Like the light mode is too light"|40|"Business Operations"|NA|"3"|"6"|"2"|"6"|"1"|"3"|"4"|"8"|"1"|"3"|"5"|"8"|"1"|"7"|"4"|"6"
"I have used this app for months on a daily basis, and was finding it really useful. However the app recently forced me to do an update and all my tasks were deleted as a result, as were the specific categories I set up. I tried deleting the app fully and redownloading it to see if that helped but my tasks still didn't reappear, even though my diary is syncing OK. I have lost over 80 tasks and can't remember all the info included in each task. It has shaken my faith in using the app again, particularly as I haven't received a response to the message I sent the team via the support link several days ago now."|"It seems OK, but very basic. Recurring tasks need some work to be actually useful. For example, it would be nice to be able to set a task to be recurring on the first of every month, without only being able to set that up on the first of the month. Edit; I also just noticed that there is no dark theme. Both may be available as paid for options, but I'll never know, since they are basic options and without them, I have no reason to try this app, and thus will never pay for actual premium options."|"Questionable experience. Upgraded to premium but WhatsApp integration is not working. Seems a little confusing."|"Cant really set custom remindere. For example I need to be able to check a specific system every 3 hours with other variables.. Cant do it"|"The app notification doesn't go away even after ticking the task complete, otherwise an amazing app"|41|"Technical and Scientific"|"2016"|"6"|"8"|"5"|"8"|"3"|"2"|"4"|"6"|"6"|"7"|"2"|"6"|"1"|"1"|"1"|"1"
"I really wanted to love this app. It does exactly what I need. Unfortunately it's riddled with bugs. Mostly with repeat tasks. Main one being. If your phone is powered off at a reminder time, it will break the reminder. Resetting the task brings more issues. Also takes 15min for the app to sync with the widget! Contacted \"priority support\" (one reply a day). Seems to have no real interest in fixing the problems. Blamed it on Nova Launcher. Same thing happens with Samsung launcher."|"I did the free trial and canceled this service. They charged me anyway not giving me any way to contact the company or get my money back. These people are rip offs I didn't even use their crappy app......"|"when you switch the language, you get wierd bug that your app is half in English half in selected language"|"Could have been a good free app. Nice design , good ideas but the free version keeps forgetting the task alarm I configured. I put it at 6 but it resets it at 9. Don't know about the paid one."|"The prices for this app is abit stupid when I can find apps that do the same thing for free! 26$ should give me life not everyone is rich !!!"|42|"Technical and Scientific"|"2015"|"6"|"4"|"5"|"4"|"5"|"5"|"8"|"5"|"8"|"3"|"6"|"5"|"1"|"3"|"1"|"4"
"No custom notification sounds??? Really?"|"I reported about this app due to incorrect billing but noone answer me. Please, return my money back because app took my money without my permission from my credit card."|"Trying to set a reoccuring event changes the date to one day before what I set it as. Trying to change the date back just creates a second event. Then trying to delete both events takes several tries, because half the time they don't actually delete. This is really annoying."|"Hi there, i would like to know if this application is for free or do i need to pay for it? Thank you for your answer."|"Very useful BUT needs Dark/Night mode. Am sure that aint to hard to create?"|43|"Technical and Scientific"|"2011"|"6"|"2"|"4"|"5"|"3"|"1"|"2"|"4"|"3"|"8"|"1"|"3"|"4"|"2"|"4"|"5"
"Used to be my go-to for my shopping list but 2 updates later it's become frustrating and wasteful. As I'm going through my saved items in each category to add it back to my list, the category just randomly closes and now I have to reopen it. Before I could just run down the list and click on what I needed to add."|"It was a great app until they ruined the widgets. I pay for premium membership which is supposed to include priority support, and yet their customer service is ignoring my requests for help. UPDATE: yes, customer support responded, but they didn't solve any of my issues! These devs are great at not listening to their customers. I've switched to a different task app and I'm much happier (Tasks by Stephen Nottage, check it out!)"|"I love the app but I wish there was a separate page for notes. (I know that you can add notes when you create a task), but I'd like to see a designated page just for notes. Other than that I never liked subscription models, I think way more people would actually buy it, myself included if it would be a one time fee."|"Day 2 of trialling this. So far I've had two location reminders fail, I can't label a location with more than one letter, the only time based reminder that's fired did so while on a phone call so I don't know what it sounds like, not that I can change the sound anyway because the instructions don't work. I had no idea what the buttons meant so the first one tapped the task got snoozed for 28 hours. How is that a typical snooze length? Adding anything more than a basic list item is not intuitive"|"I wanted an app that would allow me to create grocery lists from web/desktop but access them from mobile. At the time of writing, this functionality still isn't fully working. Grocery lists are categorized on mobile, but the web version just shows a single list with all items mixed together. Auto-categorization has been working on mobile since 2018, but the developers still have not bothered to port this important feature to desktop. Also, I feel that far too many of the options are locked down for premium users, even trivial options like background colors."|44|"Technical and Scientific"|"2016"|"5"|"3"|"3"|"8"|"7"|"1"|"7"|NA|"7"|"5"|"6"|"3"|"6"|"7"|"1"|"6"
"Nothing but problems with this app. First smart lists didn't work, magically they started working the next morning and I thought everything was great. Now Alexa sync stopped working. It was working, then it stopped. It would sync to alexa if i added through Any.do, but not if added through alexa voice. in my efforts to fix it i disabled the skill and now i cant get it to re-enable. what a mess."|"It's not free."|"It sorely needs and UNDO (& backup/restore/revert) feature in case we accidentally touch/swipe a circle/bullet which then gets unintentionally deleted immediately (which I find incredibly frustrating). (It also needs a flexible feature to import & export other common text/data formats like CSV, XML, events to & from calendar… not just copy reminders to tasks) If Google fixes all that then I'd give it 5-stars!"|"I want to discontinue and it was monthly base they charge me yearly it's very sad pls help and refund"|"Decent app, very helpful to split things up visually but several issues over the past few months of usage. Tasks suddenly stop syncing up from a desktop PC to the app, deletion of lists seem to work but then the lists re-appear, and most recently all the tasks that have been completed over a period of time are suddenly back in my list. On a basic level, this app is useful, for anything more than that it's not the solution I was hoping for. I am a little OCD but if you are too then look elsewhere"|45|"Technical and Scientific"|"2014"|"4"|"1"|"7"|"2"|"5"|"8"|"4"|"2"|"3"|NA|"4"|"1"|"4"|"8"|"5"|"7"
"A subscription for an App that simple? Are you insane? It should be a one time payment no more, around 3-4$. This is my advice to you, you won't last long with this kind of strategy..."|"This App is useless , it works as a notepad with your tasks in it , it does not notify you of tasks you suppose to do. When the time reaches it's silent doesn't pop up even though settings have permitted it to pop up and alert , even a simple alarm clock notified me of what to do .This app Doesn't work ."|"There should be a dark mode instead of setting through a premium theme option"|"It sorely needs and UNDO (& backup/restore/revert) feature in case we accidentally touch/swipe a circle/bullet which then gets unintentionally deleted immediately (which I find incredibly frustrating). (It also needs a flexible feature to import & export other common text/data formats like CSV, XML, events to & from calendar… not just copy reminders to tasks) If Google fixes all that then I'd give it 5-stars!"|"Nice App... Will suggest some changes after some time"|46|"Technical and Scientific"|"2010"|"6"|"5"|"4"|"6"|"1"|"3"|"6"|"6"|"1"|"4"|"2"|"8"|"1"|"6"|"8"|"5"
"Any app that ignores your phone's dark mode unless you pay for it is garbage."|"Can not cancel subscription"|"Ah yes, wanna use an \"advanced\" calendar? Well, turns out you must have an account for that. What's that, your eyes are burning under this bright theme? Well we have a solution just for you! As you have seen in our tips, you can change the theme. Oh W O P S, NO YOU CAN'T, how silly of us to not tell you in tips that ~BUY OUR PREMIUM!!!~... //Maybe it's just not what I was looking for..."|"I love this app, but recently the app keeps crashing everytime I enter. Plus the calendar is completely wrong. 😕"|"I've turned off every notification option I can find and I still get pop up reminders on my screen. I just want a silent reminder in my notification bar. Can't tell you how many times a reminder has popped up during a call and I can't press the end button to hang up. Or accidently clicked the reminder while trying to do something else on my phone. Please give an option or tell me where to find it for notifications WITHOUT a popup on the screen that steals focus on whatever I'm working on."|47|"Technical and Scientific"|"2013"|"6"|NA|"2"|"5"|"7"|"3"|"2"|"6"|"7"|"5"|"2"|"7"|"8"|"2"|"7"|"7"
"This app seems useful. Regretfully, I am going to uninstall it. It is too pushy, and keeps reminding me to use it. That is not my only issue with this app. A day or so ago, I found that it had put itself on my lock screen. I did not put it there. I specifically put the transit app on my lock screen. I changed it back, thinking I am uninstalling if this happens again. It happened again. This morning I noticed it changed back to Any.do in the place where I want the transit app. Goodbye Any.do."|NA|"Too much spam. Stuff that I don't care for pops up on my screen all the time and blocking those also blocked the reminders I wanted the app for. Also, too many emails. I don't want more clutter to \"organize\" my life."|"No dark theme without a premium subscription? Ok"|"Please make the widgets more customizable and make us able to change the background transparency. Edit: Looks like you didn't understand. I'm talking about the background transparency of the widgets. Again, if you didn't understand - I'm talking about the ability to change the background transparency, the blackish background which makes the contrast higher and isn't necessary on wallpapers which aren't too bright."|48|"Technical and Scientific"|"2012"|"1"|"5"|"7"|"2"|"5"|"3"|"4"|"5"|"3"|"5"|"2"|"3"|"1"|"2"|"8"|"8"
"I like when this developers claim their apps are free, wait 95% free?! You mean 5% free, if even. Data costs money, stop pretending this crappy apps are free. For an note app, this one is nothing but INVASIVE."|"Loaded the trial then emailed about cancelation but email bounced back. Ended up paying $36 for an app I didn't want. No way to contact for refund. Be careful if you buy this. If you try the trial you're stuck paying for it!"|"Recurring tasks are very glitchy - they sometimes change the day or time when they recur. Per any.do's request i sent them a video of this happening... crickets. No explanation or acknowledgement and no refund as i requested. Fine otherwise, but i rely on recurring items."|"It's very simple, and it's interface is so beautiful. Why did I put 2 stars then? Because most of it features are limited to the paid edition, even the important ones."|"Just fine for me I mean it has a smooth transition and everything but all the cool stuff is paid it's like there's nothing extra for freebies you can do the same in a normal calendar."|49|"Technical and Scientific"|"2011"|"7"|"6"|"7"|"6"|"8"|"7"|"2"|"7"|"2"|"5"|"8"|"4"|"8"|"2"|NA|"3"
"I get it you want me to upgrade, not even tried the app and you shove it in my face. I don't like at all how it's all just promoting your pro version Delete your account it wants your password for your Gmail account this is a privacy breach also. So many things wrong with this app and their ethos. None of the integrations work unless you pay them. Totally money grab these guys as I've read elsewhere. I've deleted it now, it made me feel they have been so intrusive with what they are doing"|NA|"I tried it years ago and never really got it going. Then I switched to Wunderlist and became an organized machine! Now Wunderlist is being retired, so I thought I'd try again, guessing it would be much better by now and that my ability to use it to my advantage would be vastly improved. Nope. No ability for folders or some other way to group lists together so I don't have to flip through all my lists to find the one I want. Not even a list view to make them easier to find."|"Looks like a copy of an IPhone app. Im not impressed by the huge bar in the bottom or the single colored ui. A night mode should come standard"|"very simle with few functions, maybe for childrens. there are missing a lot of usual functions that others free app have: time tracking, a true calendar where you add tasks by minutes steps, no task, subtask numbering, no tabel, spreadshets tasks, no custom fields, no timesheet , etc on this premium account. If you want and work with advanced GTD, planners, project management go away and dont lose your time."|50|"Business Operations"|"2012"|"1"|"7"|"2"|"5"|"6"|"4"|"7"|"1"|"6"|"8"|"7"|"8"|"5"|"2"|"5"|NA
"I have used this app on my previous android and it offers awesome features. However, it's not working at all on installing on my new android Redmi Note 5. I have used this app before and I want this to be working at any cost. Pls help me to resolve this. App does not launch next morning as it should do. After I add my tasks, it just doesn't launch."|"Hard, to use"|NA|"There is no sound"|"Useless. Have to pay a subscription to be reminded? No thank you. Honestly a once off fee is fair, but a continued yearly fee. I can see why these guys partnered with Facebook and mark Suckerberg . To suck your wallet. I gave it 3 stars because it is a well made app."|51|"Business Operations"|"2011"|"4"|"6"|"5"|"3"|"5"|"8"|"3"|"7"|"5"|"1"|"5"|"6"|"4"|"7"|"1"|"4"
"Why does it require sign up? Edit: in response to the reply, it is ridiculous that I couldn't even try the app before providing you with my details. I've now found a wonderful app that allows me to skip the sign up unless I wish to sync etc. I'll be sticking with that app because it is perfect and I only need to provide the info I wish to."|"How can I get my money back?"|"I don't care for it, when I first opened it it showed me all these appointments. I was thinking what the heck then I figured out it was showing me weeks passed along with the current. To me that's just a bunch of clutter. Then it was telling me I had five appointments this month, no, only have one, it only showed the one but it still says 5. I don't have a clue what the other four are. Anytime I try to do anyting it practically begged me to join premium, I just uninstalled it."|"Too much spam. Stuff that I don't care for pops up on my screen all the time and blocking those also blocked the reminders I wanted the app for. Also, too many emails. I don't want more clutter to \"organize\" my life."|NA|52|"Technical and Scientific"|"2013"|"3"|"6"|"7"|"3"|"5"|"8"|"3"|"1"|"1"|"4"|"3"|"5"|"7"|"6"|"4"|"8"
"Couldn't find Google Assistant integration anywhere. Even though it's been advertised everywhere when searching the web for the app. Edit: It's even in the description of the app here. That's false advertising. I will edit my review when it's out of Beta and working in the final version."|"I hate companies that make you needlessly create accounts. Have a 1 star review as payment for my distaste."|"Not so great. The user interface is not friendly. Making the to do list takes far too long and theres no way (that i found) to make a list that repeats daily. I'll just stick to google keep."|"Very productive"|"My favorite thing is when to do list speak loud the task to do. Is good not having to read your screen. I unistalled because I miss this feature"|53|"Business Operations"|"2012"|"7"|"1"|"7"|"7"|"3"|"8"|"8"|NA|"5"|"3"|"7"|"4"|"8"|"1"|"6"|"7"
"Horribly simplistic. I found AFTER I had paid for premium that there is NO way to change the due date on an existing task. Renders the program useless!! Lacks other core functionalities...but I would NEVER EVER have conceived that the due date on an existing task cannot be changed. I was ripped off."|"Upgraded and lost all my tasks from previous version ... very disappointed!!!"|"Was interested in trying out the premium features until I saw that they're a subscription, and a ridiculously priced one at that. Unfortunately the simple functionality of note taking, which used to be handled very well by many apps seems to be harder to come by. Haven't found an app yet that will integrate with Google assistant in any useful way."|"I dont like how it charged me automatically after the free trial without informing me expiry of trial or if i wanted to subscribe to the paid service"|"On the phone it works perfectly, but now that I've installed the app on the tablet, I realise that it doesn't have the option to rotate the screen if the tablet is rotated, please add this feature so that I can see better the tasks"|54|"Technical and Scientific"|"2014"|"6"|"8"|"6"|"7"|"6"|"5"|"1"|"4"|"7"|"4"|"6"|"3"|"2"|"6"|"3"|"6"
"Waste of time failed to pair with mu gmail account...gave up after 5 attempts"|"Waste of time failed to pair with mu gmail account...gave up after 5 attempts"|"The \"not completed\" tasks do not carry over to the next day automatically. I wanted an app that would constantly flash incomplete tasks in my home screen. Otherwise, presentation of the app is good."|"Not a great user interface. Have been using for almost 2 months but still struggling"|"There's a very important feature missing — to SELECT AND EDIT MULTIPLE TASKS at once. Also, the app could improve speed wise. It feels a little SLOW and HEAVY, specially with the transition animations. Otherwise, 5 stars."|55|"Business Operations"|"2016"|NA|"4"|"5"|"8"|"3"|"4"|"4"|"5"|"6"|"6"|"3"|"2"|"3"|"8"|"8"|"3"
NA|"The fact that you have to pay so much to use something so simple isn't worth it to me. There are free apps of similar functionality."|NA|"Hate subscription uninstalled"|"I love the app But its shame that I can't add my tasks on my calendar after I planned my day. I am heavy calendar user I use it to schedule every hour of my day but I can't do anything similar with this app except to remind me at certsin time. To me having to see how your day is structured by the hours is really usefull. Uninstalling it for this reason.😏"|56|"Technical and Scientific"|"2011"|"5"|"6"|"7"|"2"|"7"|"1"|"3"|"4"|"2"|"1"|"7"|"8"|"7"|"5"|"2"|"7"
"This app requires users to create an account with either FB or Gmail to use it, then you find yourself in a 7 day free trial in order to pay later. Not encouraging to even try it. At least inform users that's it's not free before asking access to their FB or Gmail accounts."|"Bad UX"|"It's very simple, and it's interface is so beautiful. Why did I put 2 stars then? Because most of it features are limited to the paid edition, even the important ones."|"Does this app work without internet connection also?"|"Sorry this is not a review but a question : anything I enter in google calendar ends up in any.do, but not the other way around ? How do I do this ? Have I missed something ? Specifically, I want my Goggle Home mini to be able to tell me what's on my any.do tasks and calendars."|57|"Technical and Scientific"|"2013"|"7"|"2"|"2"|"1"|"8"|NA|"2"|"6"|"6"|"2"|"5"|"5"|"8"|"2"|"6"|"1"
"Do not download this app!!!! I unsubscribed from Premium before they could charge me because I decided I couldn't afford it (I'm a broke college student). They took my money anyway! I tried to contact them; they don't have a number to call, so I emailed them. They told my they didn't charge me at all! I asked them to give me the contact info of their financer so that I could send them my bank statement, and they ignored my emails. They STOLE my money!!! Don't use this app, it is not worth it."|"Not good"|"The actual free version doesn't allow you anything, not even to learn how to use the app properly. That role is filled by 7 days of free premium. The free, on the description, is a lie. Is a paid-only app with temporary free access to its full features that gets practically useless after the 7-day trial. If you can get past that sort of business practice to actually try it I think the app may be great, but I don't like to be lied to. Edit: I opted for TicTic after some experiments."|"gaada waktu kapan harus selesai.. jadi kurang detail"|"A decent app, but for me, it's not worth paying £15/yr for, and that's at 50% off. £30 is just ridiculous for a to-do/calender app. There are other task/calender apps, just as good and free."|58|"Technical and Scientific"|"2014"|"6"|"1"|"6"|"4"|"3"|"6"|"4"|"2"|"7"|"8"|"5"|"8"|"2"|"8"|"6"|"6"
"Do not download this app if you want to keep money in your account- they took an unauthorized almost $40 out of my account. Their help page says they offer refunds within 48 hours however they offer no access to claim a refund."|"Subscription based model for better features. Happy to pay $20 once off if I really like an app, but not ongoing costs that can change any time."|"Could have been a good free app. Nice design , good ideas but the free version keeps forgetting the task alarm I configured. I put it at 6 but it resets it at 9. Don't know about the paid one."|"Over all good task manager. But I do not like misleading and untrue boasts about integration with MS outlook. It is possible but only via zappier plus functionality is limited. Not possible to sync task between this 2apps."|"How can I delete priorities? Someone please answer me. Also, please make a feature where we can choose to check subtasks off through check boxes as well. And a feature that lets us choose the colour of the to do list when it's open, as well. Also, headers within the lists themselves? Just to divide tasks. I will change my rating to a 5 star, then. Thank you for reading this."|59|"Business Operations"|"2017"|"3"|"4"|"6"|"2"|"2"|"6"|"2"|"5"|"1"|"7"|"1"|"2"|"2"|"5"|NA|"2"
"Won't stop charging me after cancellation. When it happened again this year after they promised one year ago that they would stop. I had to actually cancel the credit card. Upon reading the reviews I find that I am not the only one with this excessive billing issue."|"Impossible to cancel"|"Looks really good but... I'm not going to pay a subscription for it, sorry. If you said one off payment then maybe. Most of the locked features are available in other products out there."|"Sharing didn't work, there's a permanent notification and everything is premium option, even the theme!"|NA|60|"Business Operations"|"2014"|"5"|"8"|"7"|"6"|"8"|NA|"7"|"3"|"7"|"2"|NA|"6"|"4"|"7"|NA|"2"
"Free, but wants you to pay before using. Social media not required, but wants you to register before using. Popular company, popular enough to remove my last 1 star review and send me an Email disputing it. Plenty of better note taking apps exist. I highly advise against this invasive app."|"Terrible developer said could cancel anytime, believing developer, installed, then refuses to cancel for 7 days,after first payment , trickery, do not dowbnload"|"Recurring tasks are behind a pay wall. Ridiculous to have to pay a monthly subscription for such a simple feature App is a little ugly and not customisable."|"I was willing to give this a try to see if it suits my needs. Seemed ok, with limited use so far. The only thing more annoying than constant notifications from apps is at 9am when my phone vibrates and Any.Do takes over the whole screen and asks me to plan my day. I don't need it taking over things, i will plan when i want. Are you seriously doing this? It is the equivalent of a browser popup and very annoying."|"Working great so far until my Nokia 8.1 was forced to upgrade to Android 10 lately, after the upgrade reminders no longer show in pop-ups, though they still appear in notifications. Please advise how to enable pop-up reminders again, thanks in advance."|61|"Technical and Scientific"|"2015"|"3"|"7"|NA|"1"|"2"|"1"|"6"|"4"|"8"|"4"|"2"|"5"|"8"|"4"|"4"|"6"
"Not user friendly. Directly asking for money.i already uninstalled"|"I'm not going to even explain why one star"|"It's actually a really good app but because you can't disable pop up reminders it becomes really useless. Those pop ups disturb while doing other things with the phone and sometimes even block the screen while driving. I'd like to receive all notifications but only in the status bar, just like any other app."|"Syncing with Alexa takes over 10-15 minutes which renders it unusable. Any.do, before you post your generic response: yes, I added the skill to my Alexa and, yes, I logged into my accounts. It syncs... kind of... so I can verify the two accounts are talking... just not well at all. When I use Wunderlist or Google Tasks or just Alexa by itself, the changes are instantly viewable across all platforms. The only reason I downloaded with app was to give me more control over my Alexa lists (which for some insane reason you cannot reorder). The extremely lag in syncing Any.do with Alexa renders this app useless. The UI looks really nice and user friendly, so I bumped it up to 2 stars."|"Good but why is there no widget? I just recently decided to try this app again. I like the reminders. Unlike some other users, this feature works fine for me. I also like that Alexa has a skill for it so I can just tell alexa to add something to my list and it's added. The only thing I would remove a star for is no widget. I dont want to have to open the app every time to see what's on my list."|62|"Technical and Scientific"|"2010"|"6"|"1"|NA|"1"|"8"|"6"|"2"|"7"|"4"|"2"|"1"|"6"|NA|"3"|"5"|"2"
"Keeps notify me only sound without any notifications or any tasks and every time i open the app i got a pop up window with an old task that i finished already before along time ago. What is matter ?? It was a good app !"|"Wants 2.99 per month to do things I can do for free with Google."|"Just trying it out. Seems like a great app but has a really, really basic miss that I saw referenced in another review: Theres no intuitive way to specify or change the time of a task. Tasks are all just all automatically set for 9 am and theres not visable button or option to change the time. The other user mentioned trying to use Google to figure out how. But such a basic miss seems like a flag that maybe I should try a different app."|"I don't care for it, when I first opened it it showed me all these appointments. I was thinking what the heck then I figured out it was showing me weeks passed along with the current. To me that's just a bunch of clutter. Then it was telling me I had five appointments this month, no, only have one, it only showed the one but it still says 5. I don't have a clue what the other four are. Anytime I try to do anyting it practically begged me to join premium, I just uninstalled it."|"Eh, it wasn't for me. Maybe it's because I was using the free version, I didn't think this app was very intuitive at all. First of all, it's very annoying to not be able to set my own reminder times for tasks. I had the option to either choose 9 in the morning or 6 in the evening. What the heck? Secondly, the reminder feature goes off a little too often. Only one reminder is needed. I know I could have turned notifications off, but I did want reminders for my tasks. I should have been able to control the number of reminders. Also, it was pretty lame that I couldn't make multiple lists. I was just dissatisfied overall with my limited options. I deleted and am using another to do list app"|63|"Technical and Scientific"|"2013"|"7"|"2"|"1"|"1"|"1"|"5"|"8"|"3"|"4"|"5"|"7"|"5"|"7"|"3"|"8"|"5"
"Tech support is so vague with their pricing. I'm sorry but you just lost an interested customer. Cancelled trial and any plans of subscribing to premium."|"complicated , dislike the pro version. microft to -do list is better"|"It's very confusing. I got the calendar app that was suggested to me when I wanted to use the widget, but once I started using the calendar along with any.do the tasks notifications got duplicated. I don't see the point of having any.do when the calendar app does the same thing."|"Good until it started wanting money for doing its job"|"I had an older version of this app on my previous phone and loved it. However, the usability has gone way down somewhere in between.... You need to get rid of the analog clock thing when adding reminders. It takes way too many finger taps than is necessary to set a simple reminder for a given task, and annoyingly resets to the current day and time every time you try to edit a reminder you have created. This is confusing and makes it hard to use this app on-the-go, which is when I need it most.."|64|"Technical and Scientific"|"2011"|"4"|NA|"8"|"1"|"4"|"6"|NA|"7"|"3"|"5"|"8"|"5"|"4"|"4"|"7"|NA
"Bad experience with the subscription, they refuse to give back the months I haven't used after canceling. Just want the yearly subscription. The Mac app crashes / gets stuck."|"It doesn't alarm"|"Premium version is too much expensive. Any.do should provide an option in which we can select max. 3 to 5 apps for integration in premium version & pay accordingly."|"Pretty with nice add ons and integrations but more than once I've gone back to a long list I created to find it gone or reverted back to a very old version, so annoying. Don't need the song and dance this app offers if it can't save a basic list"|"Overall, I like the app. However, I'm uninstalling because of the pop-up notification that goes over other apps and basically freezes my phone until i dismiss it. The app doesn't have permission to draw over other apps and no way to disable this notification. The only reason it isn't 1 star is because overall the app is good.. they just ruin it with that 'feature'."|65|"Technical and Scientific"|"2011"|"4"|"2"|"5"|"5"|"1"|"8"|"5"|"4"|"4"|"4"|"8"|"8"|"1"|"1"|"2"|"7"
